rebalance_date,ticker,call_put_imbalance,net_delta,iv_skew,sharpe_z,qmj_z,alpha
2025-10-13,CEG,1.702737798672625,0.2847292385861352,-1.4187654631826447,0.2847292385861352,0.6178208296827983,0.6184273250760947
2025-10-13,CIEN,-0.9085900078819632,1.4776794382060794,1.6664134817615874,1.4776794382060794,1.419091473912398,1.2843302444437703
2025-10-13,DAL,-0.1322446136533229,-0.8248464461882052,-0.045536379073507154,-0.8248464461882052,-0.90744098387552,-0.7803069311448981
2025-10-13,GD,0.3896737096120093,0.42997068877969846,-0.40738289091395596,0.42997068877969846,0.191298380652748,0.3686179047538641
2025-10-13,LNG,-1.05157688674935,-1.3675329193837074,0.20527125140852026,-1.3675329193837074,-1.3207697003724235,-1.4910685431288309
2025-10-27,CEG,0.8707058631926161,0.2533321782631703,-1.125621169369125,0.2533321782631703,0.12828184190493702,0.2540191104768888
2025-10-27,CIEN,-1.1027981477631914,1.2699222025443107,1.827665799590216,1.2699222025443107,1.1549000330021768,1.0367943810205371
2025-10-27,DAL,-0.02794306174842613,0.10831813106851079,-0.2636339114828209,0.10831813106851079,0.009715845460956486,0.005119700859419222
2025-10-27,GD,1.3529480758653478,0.17929493639472122,-0.5561103086057899,0.17929493639472122,0.5396925789979768,0.5810134834269753
2025-10-27,LNG,-1.0929127295463499,-1.8108674482707128,0.11769958986751985,-1.8108674482707128,-1.8325902993660472,-1.8769466757838205
2025-11-10,CEG,0.42930041872608443,-0.3770893682810627,-0.7185605197989559,-0.3770893682810627,-0.6888328573889874,-0.48247926808414265
2025-11-10,CIEN,-1.9005413288381485,1.6263854630938446,1.9071135205731373,1.6263854630938446,1.4915720317666026,1.3523770515669757
2025-11-10,DAL,0.8060179450380234,-0.6610252493143587,-0.8919483452592144,-0.6610252493143587,-0.3657598516557075,-0.5021313315037748
2025-11-10,GD,0.7404828369525182,0.6010428443304761,-0.20758886748683258,0.6010428443304761,0.7992201291261277,0.9603475441319564
2025-11-10,LNG,-0.07525987187847678,-1.1893136898288994,-0.08901578802813448,-1.1893136898288994,-1.2361994518480355,-1.3281139961110149
2025-11-24,CEG,-0.8489992023913822,-0.9385295969858187,0.20906858011182067,-0.9385295969858187,-0.9579810301310521,-1.0855337869772652
2025-11-24,CIEN,-0.41194141381219523,1.067260560651652,0.9653361692827837,1.067260560651652,0.7883045107996359,0.9306124336565692
